category,region,sales,quantity,rating,profit,customer_age
家居,华东,5515,17,2.4,3609.71,39
运动户外,华中,3491,40,1.6,3569.93,41
食品,华南,6051,45,3.4,4726.72,36
运动户外,华南,5568,32,2.3,616.15,54
运动户外,华中,8107,29,4.5,2610.52,56
服装,西南,9164,3,5.0,4888.06,38
食品,华南,9544,40,4.0,409.12,25
食品,西南,6513,34,1.4,3351.39,45
食品,华南,7041,40,2.2,2721.96,22
运动户外,华南,9606,27,1.4,2725.64,34
家居,华北,4920,13,3.6,3337.19,54
食品,华南,2998,45,4.1,4612.89,53
图书,华东,7646,33,4.7,3804.2,36
运动户外,华中,177,6,2.8,-191.25,44
服装,华中,7677,24,4.6,4190.0,51
家居,西南,4327,19,4.5,740.48,28
图书,华南,700,16,2.3,1573.03,62
图书,华东,1165,40,4.5,2039.53,64
服装,西南,2236,28,2.5,2144.98,29
家居,华北,9610,33,2.2,1893.49,38
运动户外,西南,7043,48,3.6,4655.44,28
电子产品,西南,7904,41,2.3,3383.1,56
家居,华南,6665,13,3.5,2971.44,45
服装,华北,6084,43,3.4,-225.87,22
图书,西南,5242,45,3.3,4471.52,34
运动户外,华东,4770,25,2.5,4501.65,37
家居,华东,2290,42,3.2,3791.17,58
电子产品,华中,9284,36,3.4,-461.34,63
电子产品,华北,2812,27,3.2,-184.96,29
食品,华北,2292,38,2.8,738.73,23
食品,华中,1348,7,1.1,222.42,34
服装,西南,4133,5,3.3,1693.6,68
家居,华北,2097,43,1.7,4574.43,36
家居,华东,3787,45,3.6,2096.33,43
图书,华东,4118,31,4.0,-426.29,65
图书,华南,2070,23,3.0,1055.1,61
图书,华北,8489,42,3.2,-254.73,61
食品,西南,5865,10,4.8,-300.42,69
家居,华中,1302,32,4.4,1016.46,49
家居,华中,8235,43,4.7,1015.87,23
电子产品,西南,5667,30,4.3,3829.2,53
食品,华南,7767,39,1.4,4861.59,55
运动户外,华中,5842,31,1.6,1541.64,28
食品,华北,5888,18,3.1,1858.88,50
运动户外,华南,5508,36,2.0,4146.34,41
电子产品,华北,8769,2,2.9,974.76,40
服装,华东,9546,14,2.6,360.1,32
家居,华南,1022,13,3.2,4191.99,44
电子产品,华中,519,29,4.0,-244.25,28
家居,华南,2304,12,3.9,2908.35,68
图书,华南,1220,39,3.1,2590.96,67
服装,华南,1050,2,4.3,1402.56,34
服装,华南,2436,32,2.7,1233.54,68
电子产品,华北,5473,13,4.6,3745.22,31
服装,华东,2343,46,1.3,-24.66,44
运动户外,西南,2745,27,4.8,802.31,35
服装,华南,4712,49,3.6,3528.47,45
家居,华中,1965,41,2.5,2515.76,68
家居,华南,6128,17,1.8,203.94,64
家居,华中,7426,40,2.9,4351.75,64
家居,华北,6471,31,1.8,1663.96,21
运动户外,华中,6459,34,1.7,4053.28,24
食品,西南,7963,24,3.5,3832.42,62
图书,华东,3328,45,3.1,2934.34,52
电子产品,华中,3819,35,3.7,2219.65,65
家居,华中,2471,48,4.7,4887.53,26
服装,华东,2991,6,3.1,297.31,25
家居,西南,3856,19,3.3,3488.36,69
服装,华南,4325,30,1.4,551.55,62
图书,华中,194,7,3.9,1360.45,34
图书,华东,2774,10,2.6,1197.84,34
图书,华北,6998,41,4.9,4708.7,66
服装,华东,893,32,4.3,4820.46,50
家居,华北,2216,34,3.1,506.58,49
图书,西南,5879,28,1.5,-378.81,25
运动户外,华南,6266,15,4.4,3460.04,36
服装,华东,914,30,4.2,1798.94,55
服装,华中,445,37,1.7,-11.38,20
家居,西南,8654,29,2.2,3260.65,22
服装,华东,2543,22,4.2,2498.08,30
服装,华中,7883,4,1.7,4892.84,64
图书,华东,1084,20,4.7,750.75,63
家居,华北,7890,32,2.7,1721.88,48
图书,华东,9931,36,1.3,2484.0,33
图书,华东,927,4,4.3,3854.35,67
家居,华东,3631,27,2.5,2518.61,49
电子产品,西南,7247,17,3.1,2870.95,39
图书,华东,4551,12,1.4,743.81,46
运动户外,华中,3976,22,1.0,4158.05,39
运动户外,华北,6059,17,3.6,1857.47,60
服装,华北,226,10,3.1,275.28,20
运动户外,华东,3277,1,3.4,3153.03,27
服装,西南,8895,22,4.2,688.5,59
电子产品,西南,6124,26,3.6,36.59,38
家居,华中,5209,18,1.7,4240.93,33
家居,华东,4246,14,2.4,2030.89,29
家居,华北,7296,47,4.6,3621.06,19
运动户外,西南,3468,29,4.1,1098.23,58
电子产品,华东,3897,12,3.2,3828.34,41
运动户外,西南,1892,36,2.0,115.65,52
运动户外,西南,5832,35,2.2,1457.85,47
电子产品,华北,3576,12,3.9,4879.34,47
电子产品,华南,3517,7,4.4,3866.94,64
电子产品,华中,1745,29,3.7,2234.91,52
电子产品,华中,9497,11,4.2,1368.78,36
家居,华北,3130,33,4.1,4296.75,67
食品,西南,2972,6,1.6,2496.66,25
食品,华东,3172,47,2.7,3671.34,43
电子产品,西南,1954,15,1.6,3647.59,66
食品,华北,4121,32,1.9,-401.3,57
食品,华中,4762,11,4.5,194.4,24
电子产品,西南,6614,23,2.9,3127.96,47
食品,华中,5131,26,3.1,388.91,24
运动户外,华东,2808,34,1.7,905.21,20
服装,华中,7212,46,2.2,4706.51,18
服装,华中,9624,34,1.9,2581.0,53
电子产品,华南,8493,29,1.8,3629.01,42
家居,华南,3607,4,3.6,2568.89,54
电子产品,华南,6556,17,2.0,2538.82,18
家居,华中,4312,35,3.5,17.84,32
服装,华北,8070,13,1.2,1390.15,54
电子产品,华中,8866,41,1.6,1053.37,30
图书,华北,636,39,2.1,1649.01,57
运动户外,华北,1725,15,3.4,3890.89,25
食品,华南,8073,29,3.7,1545.63,22
家居,西南,8677,29,2.8,1984.33,26
图书,华东,8170,11,2.8,1685.6,18
食品,华南,8766,32,3.9,13.74,53
食品,华南,8709,2,1.1,1925.9,52
电子产品,西南,6590,47,2.4,575.85,19
食品,华东,3700,14,4.3,526.98,57
运动户外,华中,6883,20,3.4,17.2,40
图书,华中,9246,22,2.3,1461.69,26
食品,华南,5071,11,4.6,3666.15,51
电子产品,华东,1305,27,4.1,1020.43,63
运动户外,华南,2090,3,2.1,1217.92,31
服装,华北,5399,17,3.6,3034.71,21
图书,华南,3672,44,3.4,577.12,47
食品,华南,6075,28,2.6,4433.27,48
电子产品,华中,6420,29,2.5,2361.05,55
服装,华中,4480,21,2.4,1961.82,28
服装,华中,4857,47,3.5,2568.01,52
家居,华北,2813,16,2.8,413.19,25
运动户外,华中,5688,37,4.3,2874.1,20
食品,华东,1066,20,3.7,1497.05,31
电子产品,西南,5044,6,1.3,4434.52,30
家居,华东,3532,19,3.6,428.7,62
运动户外,华东,788,5,2.1,2288.78,49
家居,华中,4343,3,3.4,2789.62,51
图书,西南,3801,1,3.7,-316.39,62
运动户外,西南,8633,38,1.9,1500.31,36
运动户外,西南,5282,15,2.8,3529.49,55
食品,华北,6804,34,1.8,4012.08,33
运动户外,华中,4522,35,1.2,1222.39,19
家居,西南,1859,49,2.5,3892.26,57
运动户外,华北,9281,25,2.5,4822.66,34
食品,华南,2582,24,5.0,4212.81,51
食品,华南,8158,12,2.8,147.04,59
图书,华北,1051,18,2.3,3568.52,33
家居,华北,9014,15,3.3,1258.17,55
服装,华中,2179,44,1.4,4936.29,19
服装,华中,2817,16,4.8,2169.47,19
运动户外,华南,4624,27,3.5,173.39,43
图书,西南,9792,8,4.0,3488.52,30
电子产品,华南,8577,46,1.7,1276.56,64
运动户外,西南,7411,25,2.6,4983.93,48
图书,西南,7286,17,2.7,4888.8,51
家居,华中,2165,29,4.3,3108.74,56
家居,华东,868,8,1.0,214.05,20
家居,华东,5590,15,2.2,3277.74,25
家居,华北,6745,27,4.9,11.67,40
家居,华中,5183,46,2.9,-338.5,31
图书,西南,5332,7,2.5,4026.27,44
图书,华东,5897,3,1.5,653.64,46
食品,西南,9238,29,4.9,1584.65,56
服装,华东,5026,44,1.1,4854.02,56
家居,华东,6116,24,3.9,1352.62,18
电子产品,华东,3435,3,4.1,1130.69,34
图书,华中,8138,20,2.0,4550.14,58
电子产品,华南,4973,46,3.7,109.12,47
电子产品,西南,1581,15,1.4,3677.7,30
电子产品,华中,6405,25,2.0,4934.36,38
食品,华中,3551,30,4.2,4457.13,36
图书,华中,154,14,4.5,3084.17,36
电子产品,华中,7743,7,3.4,1227.33,42
家居,华中,3562,17,3.0,898.77,39
运动户外,华北,932,44,1.6,4005.9,48
电子产品,西南,6054,20,1.3,4339.02,34
食品,华中,8619,36,1.5,2389.89,40
图书,西南,7321,9,1.9,843.87,49
食品,华北,3410,38,2.4,121.19,27
电子产品,华北,3400,48,2.5,-20.51,27
图书,西南,6822,22,2.4,3454.93,53
运动户外,华东,7318,2,2.0,1810.65,25
电子产品,华南,7876,24,3.0,4479.48,69
食品,华东,3775,8,4.3,3568.19,37
服装,华东,3154,11,2.1,551.93,49
家居,华东,8070,13,4.8,2875.78,67
食品,华中,2243,17,4.5,1895.28,31
图书,华北,5307,8,1.6,2674.87,67
电子产品,华东,9603,21,4.1,3559.38,45
